,sex,has_photo,has_mobile,followers_count,education_form,relation,education_status,occupation_type,result,english
54,2,1,1,438,0,4,5,0,1,0
55,2,1,1,151,0,0,1,1,0,0
56,1,1,1,307,0,0,3,0,1,0
57,2,0,1,133,0,0,2,1,0,0
58,1,0,1,539,0,1,3,0,1,0
59,1,1,1,105,0,4,2,0,1,1
60,2,1,1,561,1,0,5,1,1,0
61,2,0,1,580,0,1,1,1,1,1
62,1,0,1,19,0,0,5,1,1,0
63,2,1,1,2314,2,1,2,0,0,0
64,1,0,1,44,1,4,2,0,1,0
65,1,1,1,337,0,4,2,1,1,0
66,1,1,1,97,0,1,2,1,1,0
67,1,0,1,101,0,4,5,1,1,0
68,2,0,1,370,0,1,5,1,0,1
69,1,0,1,1313,0,4,5,1,0,0
70,1,0,1,2269,0,4,5,1,1,0
71,2,0,1,95,0,4,2,0,0,0
72,1,1,1,204,0,1,2,1,1,0
73,1,0,1,351,0,4,5,1,1,0
74,2,0,1,201,0,0,6,1,0,0
75,1,0,1,116,1,0,5,1,1,0
76,2,1,1,127,0,1,3,1,1,0
77,2,0,1,41,0,1,6,1,0,0
78,2,1,1,73,0,4,5,1,0,0
79,1,1,1,634,1,0,6,1,1,0
80,1,1,1,1191,0,4,6,1,1,0
81,2,1,1,110,0,0,5,0,1,1
82,2,1,1,72,0,0,4,0,0,0
83,2,0,1,154,0,1,2,1,0,0
84,2,0,1,33,0,0,6,1,0,1
85,2,0,1,401,0,1,2,1,0,0
86,1,1,1,145,0,0,2,1,1,0
87,2,1,1,186,0,1,2,0,0,0
88,2,1,1,85,0,0,5,1,0,0
89,1,1,1,148,0,4,5,1,1,0
90,2,1,1,126,0,0,2,1,0,0
91,1,1,1,783,2,0,4,1,1,0
92,1,0,1,28,0,4,5,1,0,0
93,2,1,0,153,0,4,5,0,0,0
94,2,1,1,343,0,0,5,0,0,0
95,2,1,1,56,0,0,6,0,1,0
96,1,0,1,518,1,4,2,1,1,0
97,2,1,1,104,1,1,1,1,0,0
98,2,1,1,624,0,0,4,1,0,0
99,2,1,1,200,0,4,5,0,0,0
100,2,0,1,373,0,0,4,1,0,0
101,1,1,1,1292,0,0,6,0,1,0
102,2,1,1,247,2,1,5,1,0,0
103,2,1,1,174,0,1,6,0,0,0
104,2,0,1,192,0,0,1,1,0,1
105,2,0,1,38,0,0,5,1,1,0
106,1,1,1,25,1,5,5,1,1,0
107,2,0,0,91,0,0,7,1,0,0
108,2,1,1,43,0,4,5,1,0,0
109,1,0,1,257,1,0,1,1,1,1
110,1,1,1,155,0,1,4,1,1,0
111,1,0,1,1629,0,0,2,0,1,0
112,2,1,1,303,0,4,5,0,0,1
113,1,0,1,530,1,0,2,1,1,0
114,2,1,1,50,1,4,5,1,0,0
115,1,0,1,130,1,4,5,0,1,0
116,2,1,1,42,0,4,1,1,0,0
117,2,1,1,358,0,0,2,0,0,0
118,2,0,1,53,0,4,5,0,1,0
119,1,0,1,104,2,4,5,1,1,0
120,1,0,1,767,0,4,5,0,1,0
121,2,1,1,7,0,0,6,1,0,0
122,1,1,1,279,0,4,2,0,1,0
123,1,1,1,922,0,4,6,1,1,0
124,1,1,1,869,1,0,5,1,1,0
125,2,1,1,80,0,4,1,0,1,0
126,1,1,1,623,0,4,2,1,1,0
127,2,0,1,94,1,0,1,1,0,0
128,2,0,1,202,0,0,5,0,1,1
129,1,0,1,217,0,4,5,1,1,0
130,2,1,1,81,0,4,5,0,0,0
131,2,1,1,95,0,4,6,1,0,0
132,2,1,1,82,0,4,2,1,0,0
133,2,1,1,62,0,0,0,1,0,0
134,1,1,1,323,0,0,5,0,1,0
135,1,1,1,118,0,0,1,1,1,0
136,2,0,1,180,0,0,4,1,1,1
137,1,0,1,339,0,4,1,0,1,1
138,1,0,1,29,0,0,5,1,1,0
139,1,1,1,454,0,4,5,1,1,0
140,1,0,1,40,0,0,5,1,1,0
141,2,0,1,190,0,1,5,1,0,1
142,1,0,1,975,0,0,5,0,1,1
143,2,1,1,83,1,7,4,0,0,0
144,1,0,1,1960,1,1,5,1,1,0
145,2,1,1,33,1,1,5,1,0,0
146,1,1,1,225,0,4,1,1,1,1
147,2,0,1,215,0,0,5,1,1,1
148,2,1,1,578,0,4,5,0,0,1
149,1,1,1,146,0,0,2,1,1,1
150,2,0,1,221,0,4,1,1,0,0
151,2,0,1,24,0,4,0,1,0,0
152,2,0,1,252,1,7,2,1,1,0
153,1,0,1,1772,0,4,5,0,1,0
154,1,1,1,4588,0,4,2,0,1,0
155,2,0,1,333,0,2,5,0,1,1
156,2,1,1,65,0,0,6,1,0,0
157,1,1,1,99,0,4,5,0,1,0
158,1,1,1,215,0,0,1,0,1,0
159,2,0,1,217,0,1,2,1,0,0
160,1,0,1,41,0,0,5,1,1,0
161,1,0,1,22,2,0,5,1,1,0
162,2,0,1,115,0,0,5,0,1,0
163,2,1,1,75,0,0,5,1,0,1
164,2,0,1,1003,1,0,2,1,0,0
165,1,0,1,512,0,4,1,0,1,0
166,2,0,1,540,2,4,2,0,0,0
167,1,0,1,997,0,0,4,1,1,0
168,2,0,1,116,0,0,6,1,0,0
169,2,1,1,245,0,1,4,1,0,1
170,2,0,1,352,1,4,2,1,0,0
171,1,1,1,2655,0,7,4,1,1,0
172,2,1,1,89,0,0,5,1,0,0
173,1,1,1,153,0,0,6,1,1,0
174,1,0,1,171,0,4,5,1,1,0
175,2,1,1,101,0,1,5,0,0,0
176,1,1,1,214,1,0,5,1,0,0
177,2,1,1,5,0,4,5,1,1,0
178,2,1,1,34,2,4,5,1,0,0
179,1,1,1,295,1,4,5,0,1,0
180,1,0,1,180,2,4,2,1,1,0
181,1,0,1,269,0,4,8,1,1,0
182,2,0,1,190,1,4,2,0,0,0
183,2,1,1,374,2,0,5,1,0,0
184,2,0,1,60894,0,4,3,0,1,1
185,2,0,1,139,0,4,5,1,0,0
186,1,0,1,922,0,1,2,0,0,1
187,2,0,1,245,0,7,5,1,1,1
188,1,1,1,300,0,1,1,1,1,0
189,1,0,1,366,0,0,2,1,1,0
190,1,1,1,846,0,1,1,0,1,1
191,1,0,1,0,0,1,6,1,1,1
192,1,1,1,209,0,0,2,1,1,0
193,2,0,1,63,0,1,5,1,0,1
194,1,1,1,1116,0,0,2,1,1,0
195,2,0,1,207,0,0,4,1,0,1
196,2,1,1,172,0,4,4,0,0,0
197,1,0,1,1741,0,0,2,0,1,0
198,2,1,1,39,0,4,2,1,0,0
199,2,0,1,245,0,1,5,1,0,0
200,1,0,1,19010,0,0,5,1,1,0
201,1,1,1,47,0,4,4,0,1,1
202,1,0,1,561,0,1,5,0,1,0
203,1,0,1,38,1,0,5,1,1,0
204,1,1,1,557,0,1,5,1,1,0
205,2,0,1,17,0,4,5,1,0,0
206,1,0,1,11740,0,1,4,1,1,1
207,2,0,1,274,0,7,1,0,1,0
208,2,0,1,65,0,4,0,1,0,0
209,1,1,1,278,0,1,6,1,1,0
210,1,0,1,835,0,1,5,1,1,0
211,2,0,1,7,1,4,2,0,0,0
212,2,0,1,82,1,4,4,0,1,0
213,1,1,1,1040,0,1,2,1,1,0
214,1,1,1,654,0,8,2,0,1,0
215,1,1,1,415,1,4,5,0,1,0
216,2,0,1,552,0,2,4,1,1,1
217,2,0,1,69,0,0,5,1,1,0
218,2,1,1,881,0,0,2,0,1,1
219,2,0,1,141,0,4,5,1,0,0
220,2,1,1,3212,0,0,6,1,1,0
221,2,0,1,162,0,0,1,1,1,1
222,1,1,1,427,0,0,6,1,1,0
223,1,1,1,616,0,0,5,1,1,0
224,1,1,1,1706,0,4,5,0,1,0
225,2,1,1,553,0,0,8,0,0,0
226,1,0,1,104,0,0,5,1,1,0
227,1,0,1,697,0,4,2,1,1,0
228,2,0,1,14,0,1,2,1,1,0
229,1,0,1,320,0,4,4,1,1,1
230,1,0,1,732,0,7,1,1,1,1
231,2,0,1,35,0,0,0,1,1,0
232,2,1,1,127,0,0,2,1,0,0
233,2,1,1,233,0,4,2,1,0,0
234,2,1,1,42,0,1,0,0,0,1
235,2,0,1,178,0,6,5,1,0,1
236,1,1,1,105,0,0,5,1,1,1
237,2,0,1,110,0,0,1,1,0,0
238,2,0,1,116,0,0,3,0,0,0
239,2,1,1,152,0,4,2,1,0,1
240,1,1,1,183,0,0,5,1,1,0
241,1,1,1,743,0,0,4,1,1,0
242,2,1,1,80,0,8,1,1,0,1
243,1,0,1,831,0,0,5,0,1,0
244,1,1,1,465,0,0,6,0,1,0
245,2,1,1,46,0,4,6,0,1,0
246,1,0,1,234,0,0,4,1,1,0
247,2,1,1,223,0,2,2,1,0,0
248,2,1,1,1530,0,0,4,0,1,1
249,1,1,1,157,0,0,5,1,1,0
250,1,0,1,275,0,4,5,1,1,0
251,2,0,1,220,0,4,2,0,0,0
252,2,1,1,164,0,4,2,1,0,0
253,2,0,1,946,0,4,1,1,0,0
254,2,0,1,76,0,1,6,1,1,0
255,1,1,1,108,0,1,5,1,1,0
256,1,1,1,236,0,0,5,1,1,1
257,2,0,1,121,0,4,6,0,1,0
258,1,0,1,238,0,0,3,1,1,1
259,2,1,1,43,0,4,3,1,0,0
260,1,0,1,552,1,4,5,0,1,0
261,1,0,1,524,2,0,5,1,1,0
262,1,0,1,703,0,0,5,1,1,0
263,2,0,1,558,0,0,5,0,1,0
264,2,0,1,424,1,6,2,1,0,0
265,2,0,1,243,1,1,5,1,0,1
266,2,0,1,574,0,7,1,1,0,0
267,1,0,1,1021,0,4,5,1,1,1
268,1,0,1,537,0,0,6,0,1,0
269,2,0,1,112,0,0,5,1,0,0
270,1,0,1,653,0,0,3,1,1,0
271,2,0,0,34,1,0,2,1,1,0
272,2,0,1,336,0,0,5,0,0,0
273,2,1,1,114,0,1,2,1,0,0
274,2,0,1,47,0,7,4,1,0,1
275,1,1,1,175,0,0,5,1,1,0
276,1,1,1,1014,0,5,5,1,1,0
277,2,1,1,88,0,0,5,1,0,1
278,2,1,1,18087,0,1,2,0,1,0
279,2,0,1,83,0,4,6,1,0,0
280,2,0,1,174,0,4,5,1,0,0
281,1,1,1,485,0,4,2,1,1,0
282,1,1,1,159,0,4,4,1,1,0
283,1,0,1,986,0,1,5,1,1,0
284,1,0,1,286,0,0,5,1,1,0
285,2,0,1,58,0,4,5,1,0,0
286,1,0,1,211,0,4,2,1,1,0
287,1,1,1,4565,0,0,8,1,1,0
288,2,1,1,3356,0,4,1,0,0,0
289,1,0,1,338,0,0,2,1,1,0
290,2,1,1,479,0,3,7,0,0,0
291,2,0,1,1409,0,0,5,1,1,1
292,1,1,1,379,0,0,2,1,1,1
293,2,1,1,131,0,1,3,0,0,0
294,2,1,1,25,0,0,4,0,0,0
295,1,0,1,422,0,0,1,1,1,0
296,1,1,1,231,2,4,4,0,1,0
297,2,1,1,87,0,0,5,0,0,0
298,2,1,1,103,0,0,2,1,0,0
299,1,0,1,384,0,4,5,0,1,0
300,2,0,1,18,1,4,1,1,0,0
301,2,0,1,268,2,7,1,1,0,0
302,1,1,1,230,0,4,1,0,1,1
303,2,0,1,97,0,1,2,1,1,0
304,2,0,1,171,2,0,1,0,1,1
305,2,0,1,243,0,0,5,1,1,0
306,1,0,1,637,0,0,5,1,1,0
307,2,0,1,38,2,0,5,1,1,0
308,1,0,1,273,2,0,2,1,0,0
309,1,0,1,1287,0,0,6,1,1,1
310,1,1,1,238,0,4,5,1,1,0
311,2,1,1,53,0,6,4,1,0,0
312,2,0,1,106,1,4,0,1,0,0
313,1,1,1,210,0,4,5,1,1,0
314,1,1,1,138,0,0,1,1,0,0
315,2,1,1,180,0,0,0,0,0,0
316,1,0,1,155,1,7,7,0,0,0
317,2,0,1,153,0,1,2,1,0,0
318,1,1,1,412,0,4,4,1,1,1
319,2,0,1,204,0,4,1,1,0,0
320,2,0,1,51,0,1,5,0,1,0
321,2,0,1,94,0,0,2,1,0,0
322,2,1,1,128,0,0,4,1,0,0
323,1,0,1,166,0,0,2,1,1,0
324,2,1,1,80,0,0,1,1,0,0
325,2,0,1,573,0,1,2,0,0,0
326,2,0,1,79,0,4,2,0,0,0
327,2,1,1,209,0,0,5,1,0,1
328,2,0,1,132,1,0,5,1,0,0
329,2,1,1,237,0,0,6,1,1,0
330,2,0,1,66,0,4,1,1,0,0
331,2,1,1,2172,1,7,5,1,0,1
332,2,0,1,228,0,0,1,1,1,0
333,2,1,1,38,0,4,5,1,0,0
334,2,0,1,274,0,4,8,1,1,0
335,2,1,1,99,0,1,5,0,0,0
336,1,1,1,395,1,4,5,0,1,0
337,2,0,1,147,0,4,5,1,0,0
338,1,0,1,204,0,0,1,1,1,1
339,1,0,1,481,0,0,5,1,1,0
340,2,1,1,36,0,0,5,1,0,0
341,2,0,1,65,0,0,5,1,0,0
342,1,1,1,658,0,4,4,0,0,0
343,2,1,1,130,1,4,5,1,0,0
344,1,0,1,337,0,7,4,1,1,0
345,2,0,1,311,1,0,2,1,0,0
346,2,0,1,162,0,0,5,1,1,0
347,2,1,1,206,1,4,5,0,0,0
348,2,0,1,110,0,0,5,0,1,0
349,1,1,1,543,0,1,1,1,1,1
350,2,0,1,258,0,4,2,1,0,0
351,2,0,1,70,0,1,5,0,0,0
352,2,0,1,33,0,4,4,1,0,0
353,1,1,1,1079,0,0,5,1,0,0
354,2,0,1,110,0,1,2,1,0,0
355,2,0,1,209,0,1,5,1,1,0
356,2,0,1,461,0,6,2,0,1,0
357,2,1,1,103,0,0,5,1,0,0
358,2,1,1,10,0,1,2,1,0,0
359,2,0,1,350,1,4,5,0,1,0
360,2,0,1,791,0,0,5,0,1,0
361,1,0,1,288,0,4,5,0,1,0
362,1,1,1,371,0,0,4,0,1,0
363,1,0,1,270,0,0,2,1,1,0
364,1,1,1,448,0,4,5,1,1,0
365,2,1,1,97,1,4,5,1,0,0
366,2,1,1,134,0,0,2,1,1,1
367,1,0,1,739,0,4,5,1,1,0
368,2,1,1,127,1,4,5,0,1,0
369,2,1,1,84,0,0,2,1,0,0
370,2,1,1,256,1,4,1,0,0,1
371,1,1,1,614,1,1,1,1,1,0
372,2,1,1,38,0,4,5,0,0,0
373,2,1,1,127,0,2,5,1,0,0
374,1,1,1,183,0,0,5,1,1,0
375,2,0,1,119,1,4,2,0,0,0
376,1,0,1,213,0,7,1,1,1,0
377,1,1,1,78,0,0,4,0,1,0
378,1,0,1,564,0,4,6,1,1,0
379,1,1,1,359,0,4,2,1,1,0
380,2,1,1,102,0,3,6,1,1,1
381,2,1,1,181,0,1,6,1,0,0
382,2,1,1,143,0,0,5,1,1,1
383,1,1,1,847,0,0,5,1,1,0
384,1,1,1,137,0,0,5,1,1,0
385,2,1,1,60,0,0,4,1,0,0
386,2,1,0,83,0,0,7,1,0,0
387,2,1,1,29,0,4,5,1,0,0
388,1,1,1,563,0,0,1,1,1,0
389,2,1,1,52,0,4,8,1,0,0
390,2,1,1,190,0,1,5,1,0,0
391,1,0,1,1384,0,0,5,0,1,0
392,2,1,1,147,0,4,1,0,0,0
393,2,1,1,41,0,4,5,1,0,0
394,2,1,1,316,0,4,2,1,1,1
395,2,0,0,59,0,0,5,1,0,0
396,2,1,1,248,0,1,2,0,0,1
397,1,1,1,1041,0,4,5,1,1,0
398,1,1,1,304,1,1,5,1,1,0
399,2,0,1,82,0,1,7,1,0,1
400,2,1,1,283,0,0,2,1,0,0
401,1,0,1,193,0,0,2,1,1,0
402,1,1,1,412,0,0,1,0,1,1
403,1,1,1,154,0,0,5,1,1,0
404,2,1,1,309,0,0,5,0,0,1
405,2,0,1,100,0,4,2,0,0,0
406,2,1,1,268,0,4,5,0,1,0
407,2,1,1,91,0,4,5,1,0,0
408,1,1,1,541,0,4,5,0,0,0
409,2,0,1,193,0,0,5,1,0,1
410,2,1,1,76,1,7,2,0,0,0
411,2,1,1,54,0,4,2,1,0,0
412,1,1,1,346,0,0,6,1,1,0
413,1,0,0,95,0,1,6,1,1,1
414,2,1,1,140,0,4,6,1,0,0
415,2,1,1,66,1,4,1,0,0,0
416,2,1,1,23,1,4,5,0,0,0
417,2,1,1,268,0,0,2,1,1,1
418,2,0,1,173,0,1,2,1,1,1
419,2,1,1,26,0,0,6,1,1,0
420,1,0,1,658,0,0,4,1,1,1
421,2,0,1,202,1,1,4,1,1,0
422,2,1,1,43,0,4,5,1,0,0
423,2,0,1,72,0,6,2,0,0,0
424,1,0,1,156,0,0,2,1,1,1
425,2,0,1,535,0,1,5,1,1,0
426,2,0,1,211,0,0,2,1,0,0
427,2,0,1,154,0,0,2,1,0,0
428,1,0,1,939,0,7,5,0,1,1
429,2,1,1,172,0,0,2,1,0,0
430,2,1,1,554,0,0,5,1,0,0
431,2,1,1,48,0,4,5,0,0,0
432,1,1,1,2057,0,1,4,1,1,0
433,2,0,1,18,0,0,2,0,1,1
434,1,0,1,413,0,0,5,1,1,0
435,2,0,1,161,0,0,4,1,1,1
436,2,1,1,108,0,1,2,1,0,0
437,1,1,1,112,0,4,5,0,1,0
438,2,0,1,67,0,4,2,0,1,0
439,2,0,1,98,0,0,2,1,1,0
440,2,0,1,459,0,7,2,0,1,0
441,2,1,1,140,0,1,5,1,1,0
442,2,1,1,33,0,4,5,1,0,0
443,2,0,1,71,0,0,2,1,0,0
444,1,0,1,352,0,4,4,1,1,0
445,1,0,1,677,0,0,2,1,1,0
446,2,0,1,27,0,0,5,1,0,0
447,1,0,1,1184,0,0,2,1,1,0
448,2,1,1,380,0,0,2,1,0,0
449,1,1,1,642,1,4,4,1,1,0
450,1,1,1,889,0,4,4,0,1,0
451,2,1,1,181,0,0,1,1,0,0
452,2,1,1,174,0,4,5,1,0,0
453,1,0,1,72,0,4,5,1,1,0
454,2,1,1,381,0,7,5,0,1,0
455,2,1,1,516,0,0,5,1,0,0
456,1,0,1,264,0,0,5,1,1,1
457,2,1,1,223,1,6,5,0,0,0
458,1,1,1,122,0,0,5,1,1,0
459,1,1,1,609,1,0,6,1,1,0
460,2,1,1,451,1,0,2,1,0,0
461,2,1,1,211,1,1,7,1,0,1
462,2,0,1,61,0,0,5,0,0,0
463,2,0,1,104,0,4,2,1,1,0
464,2,1,1,121,1,4,2,0,0,0
465,1,0,1,725,0,0,2,1,1,0
466,2,1,1,198,0,4,1,1,0,0
467,2,1,1,985,0,0,1,1,1,0
468,1,0,1,434,0,1,2,1,1,0
469,2,0,1,205,0,4,2,0,0,0
470,1,1,1,495,1,0,5,1,1,0
471,1,1,1,149,0,0,5,1,1,0
472,1,0,1,157,0,0,2,0,1,1
473,2,0,1,81,0,0,5,1,0,0
474,2,0,1,316,0,0,5,1,1,1
475,1,1,1,280,0,3,4,1,1,0
476,2,1,1,541,0,1,4,0,1,0
477,2,0,1,30,0,6,2,1,0,1
478,1,0,1,622,1,4,2,0,0,1
479,2,0,1,26,0,0,2,1,1,0
480,2,1,1,126,0,0,2,1,0,0
481,1,1,1,69,0,4,3,1,1,0
482,1,1,1,138,0,0,5,1,1,1
483,2,0,1,66,1,4,2,1,0,0
484,2,1,1,71,0,4,2,0,0,0
485,2,1,1,410,0,1,5,0,1,0
486,2,1,1,179,0,4,2,1,0,0
487,1,1,1,628,0,4,5,0,1,0
488,1,1,1,205,1,4,2,1,1,0
489,1,0,1,53,0,0,5,1,1,0
490,2,0,1,49,0,0,5,1,0,0
491,2,0,1,37,0,4,8,1,1,0
492,1,0,1,33,0,0,1,1,1,0
493,2,1,1,1290,0,0,1,1,1,0
494,1,0,1,33,0,0,5,1,1,0
495,2,0,1,136,0,0,1,0,1,1
496,2,0,1,107,0,4,1,0,0,0
497,2,1,1,587,1,0,1,1,1,1
498,2,1,1,36,0,0,5,1,0,0
499,1,1,1,466,0,4,4,1,1,1
500,2,0,1,224,0,2,3,1,1,1
501,2,0,1,5,0,0,7,1,0,1
502,1,1,1,1277,0,1,2,1,1,0
503,2,0,1,38,0,4,5,0,0,0
504,1,1,1,3021,0,4,5,0,1,0
505,2,1,1,8,0,4,3,0,0,0
506,1,1,1,408,0,4,5,1,1,0
507,1,0,1,119,0,4,5,1,1,0
508,1,1,1,381,0,0,5,1,1,0
509,2,0,1,150,0,0,5,0,1,0
510,2,0,1,1584,0,4,5,1,0,0
511,1,1,1,1209,1,0,1,1,1,0
512,1,1,1,999,0,0,5,0,1,0
513,1,1,1,87,0,0,4,0,1,0
514,2,1,1,151,0,7,5,0,1,0
515,1,0,1,894,0,0,5,1,1,0
516,2,1,1,783,1,2,0,1,0,1
517,1,0,1,1249,2,2,1,0,1,1
518,2,0,1,29,1,4,5,0,0,0
519,2,1,1,385,0,4,7,1,0,0
520,2,1,1,27,0,4,5,1,1,0
521,2,1,1,14,0,1,5,1,0,0
522,1,0,1,413,0,0,4,0,1,0
523,2,0,1,34,0,1,2,1,1,0
524,2,0,1,54,0,0,5,1,0,0
525,2,0,1,742,1,4,5,1,0,0
526,1,0,1,99,0,4,4,1,1,1
527,1,1,1,2100,0,1,4,1,1,0
528,2,1,1,56,0,0,4,1,0,0
529,2,1,1,147,0,0,5,1,0,0
530,2,1,1,206,0,4,1,0,0,1
531,1,0,1,716,0,1,1,1,1,1
532,2,1,1,310,1,0,2,0,0,0
533,2,1,1,49,1,5,1,0,0,0
534,2,0,1,56,2,0,5,1,0,0
535,2,1,1,334,0,1,5,1,1,0
536,2,1,1,60,0,1,5,0,0,0
537,1,0,1,708,0,4,5,0,1,0
538,1,0,1,169,1,0,5,1,1,0
539,2,0,1,89,0,1,7,1,1,1
540,2,1,1,141,0,0,7,1,0,0
541,2,1,1,94,0,0,3,1,1,0
542,2,0,1,410,0,4,2,0,0,0
543,1,1,1,293,0,0,5,1,1,0
544,1,0,1,398,1,0,5,0,1,0
545,1,0,1,147,0,0,6,1,0,1
546,1,0,1,394,0,1,5,1,0,1
547,1,0,1,83,0,4,5,0,1,0
548,2,1,1,75,0,4,5,0,0,0
549,1,0,1,904,0,0,2,1,1,1
550,1,1,1,9,0,0,4,0,1,0
551,2,1,1,27,0,1,2,1,0,0
552,2,1,1,284,1,4,2,1,0,0
553,2,1,1,1050,0,7,2,1,0,0
554,2,1,1,1060,1,1,5,0,0,0
555,1,0,1,862,0,0,4,0,1,0
556,1,0,1,267,0,0,5,1,1,0
557,2,0,1,341,0,4,1,1,0,0
558,2,0,1,94,0,0,5,1,0,1
559,2,1,1,220,0,4,2,1,1,0
560,2,0,1,140,0,4,5,1,1,0
561,1,1,1,225,0,1,5,1,1,1
562,2,0,1,170,0,4,1,0,0,1
563,1,1,1,311,1,7,0,0,1,0
564,1,1,1,124,0,4,2,1,1,0
565,2,1,1,354,2,0,7,0,0,0
566,2,1,1,65,0,0,1,1,0,0
567,2,0,1,19,1,0,4,1,0,0
568,2,1,1,922,0,0,2,1,1,0
569,2,0,1,258,1,4,6,1,0,1
570,1,1,1,364,0,0,6,1,1,0
571,1,1,1,605,0,0,1,0,0,0
572,2,0,1,163,0,4,4,1,0,0
573,2,1,1,45,1,1,6,1,0,0
574,1,0,1,340,0,0,5,1,1,1
575,2,0,1,79,0,1,5,1,0,0
576,2,0,1,93,0,0,2,1,0,0
577,1,1,1,965,0,4,1,0,1,1
578,2,1,1,136,0,4,5,0,0,0
579,2,0,1,1243,1,4,4,1,0,0
580,2,0,1,70,0,0,5,1,0,0
581,1,1,1,7548,0,0,4,1,0,0
582,2,1,1,208,0,4,5,1,0,1
583,1,1,1,235,0,4,5,0,1,0
584,2,0,1,138,0,0,4,1,0,0
585,1,1,1,233,0,4,3,1,1,1
586,2,0,1,1142,0,0,5,1,0,0
587,1,0,1,705,0,0,5,1,1,0
588,2,1,1,117,1,0,1,1,0,1
589,1,1,1,2397,0,0,4,1,1,1
590,2,0,1,21,0,4,5,1,0,0
591,2,1,1,112,0,1,5,0,0,0
592,2,0,1,147,0,0,6,0,0,0
593,2,1,1,58,0,4,5,0,0,0
594,2,1,1,66,0,8,5,0,0,0
595,2,0,1,153,0,4,2,1,1,0
596,1,0,1,243,0,0,4,1,1,1
597,1,1,0,16,1,0,2,1,1,0
598,2,1,1,349,0,0,4,1,1,1
599,1,0,1,757,0,1,2,1,1,1
600,2,0,1,109,1,0,4,1,0,0
601,2,1,1,1634,0,0,2,0,0,0
602,2,0,1,50,0,1,7,1,0,0
603,1,1,1,526,0,0,1,1,1,1
604,2,0,1,203,1,4,6,1,0,0
605,1,1,1,288,0,1,2,1,1,0
606,2,0,1,81,0,0,3,1,0,0
607,2,0,1,89,0,4,2,1,0,0
608,1,0,1,336,0,6,2,1,1,0
609,1,0,1,172,0,4,2,1,1,0
610,1,1,1,283,0,0,1,1,1,0
611,1,0,1,202,0,4,5,1,1,0
612,1,1,1,549,0,6,4,1,1,1
613,1,0,1,572,1,0,5,0,1,0
614,2,0,1,70,1,4,2,0,0,0
615,2,1,1,185,0,1,4,1,0,0
616,2,0,1,94,2,4,5,1,0,0
617,2,1,1,120,0,4,1,0,0,0
618,2,0,1,81,1,4,4,1,0,0
619,1,1,1,224,0,0,5,0,1,0
620,1,1,1,87,0,4,5,1,1,0
621,2,0,1,62,0,0,1,1,0,1
622,2,1,1,1136,0,0,2,0,1,0
623,1,1,1,417,0,0,3,1,1,1
624,1,1,1,67,0,4,6,1,1,0
625,2,0,1,273,0,0,4,1,1,0
626,2,1,1,71,0,1,5,0,0,0
627,1,0,1,10,0,0,5,0,1,0
628,2,0,1,104,0,4,5,1,0,0
629,2,1,1,109,0,4,5,1,0,0
